InstanceName,NativeAttributeName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,SourceName,ScenarioName,UnitName,Value
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1983,2606.704301
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1984,2298.674731
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1985,1067.857527
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1986,2033.580645
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1987,436.1854839
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1988,407.561828
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1989,287.8629032
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1990,252.733871
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1991,315.1854839
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1992,247.2043011
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1993,478.1451613
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1994,371.4569892
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1995,297.1330645
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1996,401.7069892
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1997,1597.72043
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1998,1595.443548
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/1999,1222.848118
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2000,413.9045699
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2001,221.8333333
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2002,264.4435484
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2003,215.327957
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2004,282.0080645
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2005,417.9704301
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,10/1/2006,504.9798387
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1966,324.3472222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1967,1223.948611
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1968,1107.318056
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1969,728.0166667
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1970,523.9972222
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1971,1468.6375
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1972,1426.2875
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1973,853.8902778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1974,539.9625
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1975,1669.127778
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1976,1048.330556
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1977,275.1069444
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1978,438.625
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1979,414.2569444
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,11/1/1980,1294.868056
